Pill Y/N ,Patch Y/N,Ring Y/N,Morning after pill Y/N,Condoms Y/N,Shot Y/N,IUD Y/N,Implant Y/N,Name,Address,Phone Number,Hours of Operation,Notes
,,,,,,,,"Syracuse Community Health Center Incorporated/west Health Care Center 603 Oswego St Syracuse, NY, 13204","603 Oswego St Syracuse, NY, 13204",(315) 424-0800,"Mon - Fri: 8:30 AM - 5:15 PM
Sat - Sun: Closed ",
,,,,,,,,"Syracuse Community Health Center Incorporated / South Health Center 1701 South Ave Syracuse, NY, 13207","1701 South Ave Syracuse, NY, 13207",(315) 234-8336,Facility is not currently open.,
Y,Y,Y,Y,Y,Y,Y,N,"Syracuse University Health Services (for students) 111 Waverly Avenue Syracuse, NY, 13244","111 Waverly Avenue Syracuse, NY, 13244",(315) 443-9005,"M, Tu: 8:30am - 7:00pm 
W - F: 8:30am - 5:00pm
Sat: 10:00am - 4:00pm 
Sun: Closed","for SU students only. Plan B is not prescribed, but can be purchased from on site pharmacy."
,,,,,,,,Syracuse Community Health Center Incorporated,"819 S. Salina St. Syracuse, NY, 13202",(315) 476-7921,"M, W, Th: 8:00am – 8:00pm
Tu and F: 8:00am – 5:15pm
Sat - Sun: Closed",
Y,Y,Y,Y,Y,Y,Y,Y,"Family Planning Service of OCHD: North Syracuse Clinic 113 E. Taft Rd North Syracuse, NY, 13212","113 E. Taft Rd North Syracuse, NY, 13212",(315) 435-3295,"M: 8:40am - 3:00pm
Tu: 10:00am - 6:00pm (2:00 - 6:00 teen clinic)
W: 8:30am - 4:30pm
Th: 12:00pm - 8:00pm 
F: 8:30pm - 12:30pm","**There are two family planning services - is there one that girls go to more, or are they the same? 

Girls use both sites. Women of color most often use Solucum."
,,,,,,,,"Syracuse Community Health Center Incorporated/east Health Center 1938 E Fayette St Syracuse, NY, 13210","1938 E Fayette St Syracuse, NY, 13210",(315) 474-4077,"Mon - Fri: 8:30am - 5:15pm
Sat - Sun: Closed ",
Y,Y,Y,Y,Y,Y,Y,Y,"University Obgyn Associates 725 Irving Ave Suite 600 Syracuse, NY, 13210","725 Irving Ave Suite 600 Syracuse, NY, 13210",(315) 464-5162,"Mon - Fri: 8:00am - 5:00pm
Sat - Sun: Closed ",
,Y,Y,Y,Y,Y,Y,Y,"planned parenthood Syracuse Center 1120 E Genesee Street Syracuse, NY, 13210","1120 E Genesee Street Syracuse, NY, 13210",(866) 600-6886,"Mon - Fri: 8:30am - 4:30pm
Sat - Sun: Closed ",
Y,Y,Y,Y,Y,Y,Y,Y,"Family Planning Service of OCHD: Slocum Avenue 301 Slocum Avenue Syracuse, NY, 13204","301 Slocum Avenue Syracuse, NY, 13204",(315) 435-3295,"Tu: 12:30pm - 7pm
W: 5pm - 7:45pm
Th: 12:30pm - 4pm (Teens only)
F: 8:45am - 11:30am
Sat: 9:15am - 11:30am",
Y,Y,Y,N,N,Y,Y,Y,The Women's Wellness Place ,"739 Irving Avenue Syracuse, NY, 13210",(315) 478-1158,"Mon - Fri: 8am - 12pm, 1-4:15pm
Sat - Sun: Closed ",
Y,Y,Y,Y,Y,Y,Y,Y,"UHCC Women's Health Services 90 Presidential Plaza Syracuse, NY, 13210","90 Presidential Plaza Syracuse, NY, 13210",(315) 464-5210,"Mon - Fri: 8:30am - 4:30pm
Sat - Sun: Closed ",
Y,N,N,N,N,N,N,N,Northern Oswego County Health Services Incorporated - Phoenix Health Center ,"7 Bridge St Phoenix, NY, 13135",(315) 695-4700,"M, W: 7:30am - 6:30pm 
T, Th, F: 7:30am - 5:00pm
Sat - Sun: Closed",
Y,Y,Y,Y,Y,Y,Y,Y,"Oswego County Opportunities, Inc. - the Ctr for Reproductive Health at Central Square 544 South Main Street Central Square, NY, 13036","544 South Main Street Central Square, NY, 13036",(315) 598-4740,"2nd Tuesday of the Month
9:00am - 5:00pm",
Y,Y,Y,Y,Y,Y,Y,Y,"OCO - The Center for Reproductive Health at Fulton 510 S 4th St Ste 500 Fulton, NY, 13069","510 S 4th St Ste 500 Fulton, NY, 13069",(315) 598-4740,"M, W: 8:30am - 5:30pm 
Tu: 9:00am - 6:00pm
F: 9:00am - 2:00pm 
3rd Sat of Month: 8:30am - 12:30pm",
,,,,,,,,,,,,
LOCATIONS TO EXCLUDE: ,,,,,,,,,,,,
N,N,N,N,N,N,N,N,"Family Planning Service of OCHD: Civic Center Clinic and Teen Clinic 421 Montgomery St. Syracuse, NY, 13202","421 Montgomery St. Syracuse, NY, 13202",(315) 435-3295,,Closed
N,N,N,N,N,N,N,N,"Manlius Service Unit 122 E Seneca St Manlius, NY, 13104","122 E Seneca St Manlius, NY, 13104",(315) 682-3167,,"This is a medical billing agency, they do not provide medical services"
,,,,,,,,"Us Department of Veterans Affairs/syracuse Va Medical Center 800 Irving Ave Syracuse, NY, 13210-2716","800 Irving Ave Syracuse, NY, 13210-2716",(315) 425-4400,,Can a girl get birth control here? 
